title,domain,subdomain,mentor,duration,price,url
Statistics for Data Science Essentials,Data Science,Data Science Essentials,Coursera,1-4 Weeks,Free,https://www.coursera.org
Applied Data Science Capstone,Data Science,Data Science Capstone,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science with Real World Data in Pharma,Data Science,Data Science Pharma,Coursera,1-3 Months,Free,https://www.coursera.org
SQL für Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science with Python: Analyze & Visualize,Data Science,Data Science Visualize,Coursera,1-3 Months,Free,https://www.coursera.org
Code Free Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
"Data Science with NumPy, Sets, and Dictionaries",Data Science,Data Science Dictionaries,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science with R,Data Science,Data Science R,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science in Real Life,Data Science,Data Science Life,Coursera,1-4 Weeks,Free,https://www.coursera.org
Learn SQL Basics for Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science for Healthcare,Data Science,Data Science Healthcare,Coursera,1-4 Weeks,Free,https://www.coursera.org
Principles of Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
R Programming,Data Science,Data Science Programming,Coursera,1-4 Weeks,Free,https://www.coursera.org
Python for Genomic Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Analyze Data Science Concepts Using R,Data Science,Data Science R,Coursera,1-4 Weeks,Free,https://www.coursera.org
Introduction to Data Science Techniques,Data Science,Data Science Techniques,Coursera,1-4 Weeks,Free,https://www.coursera.org
Practical Data Science with MATLAB,Data Science,Data Science MATLAB,Coursera,1-4 Weeks,Free,https://www.coursera.org
Fractal Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Python for Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Applied Data Science with R,Data Science,Data Science R,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science & Machine Learning Fundamentals,Data Science,Data Science Fundamentals,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science Companion,Data Science,Data Science Companion,Coursera,1-3 Months,Free,https://www.coursera.org
"NumPy, Matplotlib & Pandas – Data Science Prerequisites",Data Science,Data Science Prerequisites,Coursera,1-3 Months,Free,https://www.coursera.org
The Data Science Profession – Student View,Data Science,Data Science View,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science Project: MATLAB for the Real World,Data Science,Data Science World,Coursera,1-4 Weeks,Free,https://www.coursera.org
Health Data Science Foundation,Data Science,Data Science Foundation,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science and Analysis Tools - from Jupyter to R Markdown,Data Science,Data Science Markdown,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science as a Field,Data Science,Data Science Field,Coursera,1-4 Weeks,Free,https://www.coursera.org
Statistics & Mathematics for Data Science & Data Analytics,Data Science,Data Science Analytics,Coursera,1-3 Months,Free,https://www.coursera.org
Introduction to Data Science and scikit-learn in Python,Data Science,Data Science Python,Coursera,1-4 Weeks,Free,https://www.coursera.org
SQL for Data Science Capstone Project,Data Science,Data Science Project,Coursera,1-3 Months,Free,https://www.coursera.org
Finalize a Data Science Project,Data Science,Data Science Project,Coursera,1-3 Months,Free,https://www.coursera.org
Building a Data Science Team,Data Science,Data Science Team,Coursera,1-3 Months,Free,https://www.coursera.org
Communicating Data Science Results,Data Science,Data Science Results,Coursera,1-3 Months,Free,https://www.coursera.org
Address Business Issues with Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science Capstone,Data Science,Data Science Capstone,Coursera,1-4 Weeks,Free,https://www.coursera.org
Executive Data Science Capstone,Data Science,Data Science Capstone,Coursera,1-3 Months,Free,https://www.coursera.org
Python Data Science: NumPy,Data Science,Data Science NumPy,Coursera,1-3 Months,Free,https://www.coursera.org
"Data Science Foundations: NumPy, Pandas & Visualization",Data Science,Data Science Visualization,Coursera,1-4 Weeks,Free,https://www.coursera.org
IBM Data Engineering,Data Science,Data Science Engineering,Coursera,1-4 Weeks,Free,https://www.coursera.org
Using Data Science Tools in Python,Data Science,Data Science Python,Coursera,1-3 Months,Free,https://www.coursera.org
Crash Course on Python,Data Science,Data Science Python,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science Fundamentals Part 1: Unit 1,Data Science,Data Science 1,Coursera,1-4 Weeks,Free,https://www.coursera.org
Introducción a Data Science: Programación Estadística con R,Data Science,Data Science R,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Engineering Foundations,Data Science,Data Science Foundations,Coursera,1-3 Months,Free,https://www.coursera.org
Introduction to Business,Business,Business Business,Coursera,1-3 Months,Free,https://www.coursera.org
How to Start Your Own Business,Business,Business Business,Coursera,1-4 Weeks,Free,https://www.coursera.org
Strengthen Your Business Savvy,Business,Business Savvy,Coursera,1-3 Months,Free,https://www.coursera.org
Business Strategy,Business,Business Strategy,Coursera,1-3 Months,Free,https://www.coursera.org
Microsoft Business Analyst,Business,Business Analyst,Coursera,1-3 Months,Free,https://www.coursera.org
Basics of entrepreneurship: thinking and doing,Business,Business doing,Coursera,1-3 Months,Free,https://www.coursera.org
Business Analysis & Process Management,Business,Business Management,Coursera,1-3 Months,Free,https://www.coursera.org
Business Foundations,Business,Business Foundations,Coursera,1-4 Weeks,Free,https://www.coursera.org
Boost Your Business Skills,Business,Business Skills,Coursera,1-3 Months,Free,https://www.coursera.org
AI For Business,Business,Business Business,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business and Financial Modeling,Business,Business Modeling,Coursera,1-3 Months,Free,https://www.coursera.org
"Brand Management: Aligning Business, Brand and Behaviour",Business,Business Behaviour,Coursera,1-3 Months,Free,https://www.coursera.org
Foundations of Business Strategy,Business,Business Strategy,Coursera,1-4 Weeks,Free,https://www.coursera.org
Excel Skills for Business,Business,Business Business,Coursera,1-3 Months,Free,https://www.coursera.org
Google Business Intelligence,Business,Business Intelligence,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business and Marketing Strategies,Business,Business Strategies,Coursera,1-4 Weeks,Free,https://www.coursera.org
IBM Business Analyst,Business,Business Analyst,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Analysis Fundamentals,Business,Business Fundamentals,Coursera,1-3 Months,Free,https://www.coursera.org
Fundamentals of International Business,Business,Business Business,Coursera,1-3 Months,Free,https://www.coursera.org
Drive Business Results,Business,Business Results,Coursera,1-4 Weeks,Free,https://www.coursera.org
AI Foundations for Business Professionals,Business,Business Professionals,Coursera,1-4 Weeks,Free,https://www.coursera.org
Small Business Marketing Using YouTube,Business,Business YouTube,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Analytics,Business,Business Analytics,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Communication,Business,Business Communication,Coursera,1-4 Weeks,Free,https://www.coursera.org
Lesson | Business English Skills: Introducing Yourself in Business Settings,Business,Business Settings,Coursera,1-4 Weeks,Free,https://www.coursera.org
International Business,Business,Business Business,Coursera,1-3 Months,Free,https://www.coursera.org
Business English Communication Skills,Business,Business Skills,Coursera,1-3 Months,Free,https://www.coursera.org
Certified Business Analysis Professional™ (CBAP®),Business,Business (CBAP®),Coursera,1-3 Months,Free,https://www.coursera.org
Generative AI in Business,Business,Business Business,Coursera,1-3 Months,Free,https://www.coursera.org
International Business Essentials,Business,Business Essentials,Coursera,1-4 Weeks,Free,https://www.coursera.org
IBM Business Intelligence (BI) Analyst,Business,Business Analyst,Coursera,1-4 Weeks,Free,https://www.coursera.org
SAP Business Analyst,Business,Business Analyst,Coursera,1-3 Months,Free,https://www.coursera.org
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Business,Business Women,Coursera,1-3 Months,Free,https://www.coursera.org
Strategic Business Analytics,Business,Business Analytics,Coursera,1-3 Months,Free,https://www.coursera.org
Business Impact,Business,Business Impact,Coursera,1-4 Weeks,Free,https://www.coursera.org
Entrepreneurship: Launching an Innovative Business,Business,Business Business,Coursera,1-4 Weeks,Free,https://www.coursera.org
"Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails",Business,Business Emails,Coursera,1-3 Months,Free,https://www.coursera.org
Business English for Non-Native Speakers,Business,Business Speakers,Coursera,1-3 Months,Free,https://www.coursera.org
Foundations of Business Intelligence,Business,Business Intelligence,Coursera,1-3 Months,Free,https://www.coursera.org
Business English,Business,Business English,Coursera,1-4 Weeks,Free,https://www.coursera.org
Increase Engagement to your Instagram Business Profile,Business,Business Profile,Coursera,1-3 Months,Free,https://www.coursera.org
Business Analytics with Excel: Elementary to Advanced,Business,Business Advanced,Coursera,1-4 Weeks,Free,https://www.coursera.org
Excel Skills for Business: Essentials,Business,Business Essentials,Coursera,1-3 Months,Free,https://www.coursera.org
Small Business Marketing Using Facebook,Business,Business Facebook,Coursera,1-3 Months,Free,https://www.coursera.org
Introduction to Business Analysis Using Spreadsheets: Basics,Business,Business Basics,Coursera,1-3 Months,Free,https://www.coursera.org
Generative AI for Executives and Business Leaders,Business,Business Leaders,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Writing,Business,Business Writing,Coursera,1-4 Weeks,Free,https://www.coursera.org
Music Business Foundations,Business,Business Foundations,Coursera,1-3 Months,Free,https://www.coursera.org
Excel Skills for Business: Intermediate II,Business,Business II,Coursera,1-4 Weeks,Free,https://www.coursera.org
Excel Skills for Business: Intermediate I,Business,Business I,Coursera,1-4 Weeks,Free,https://www.coursera.org
Use Canva to Create Social Media Visuals for Business,Business,Business Business,Coursera,1-4 Weeks,Free,https://www.coursera.org
High-Impact Business Writing,Business,Business Writing,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Statistics and Analysis,Business,Business Analysis,Coursera,1-3 Months,Free,https://www.coursera.org
Business Management Essentials,Business,Business Essentials,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Intelligence (BI) Essentials,Business,Business Essentials,Coursera,1-3 Months,Free,https://www.coursera.org
Build your business brand using Canva,Business,Business Canva,Coursera,1-4 Weeks,Free,https://www.coursera.org
Fundamentals of Business Management,Business,Business Management,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Business,Business Course),Coursera,1-4 Weeks,Free,https://www.coursera.org
Excel Skills for Business: Advanced,Business,Business Advanced,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Process Modelling,Business,Business Modelling,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business Growth Strategy,Business,Business Strategy,Coursera,1-4 Weeks,Free,https://www.coursera.org
Effective Business Presentations with Powerpoint,Business,Business Powerpoint,Coursera,1-4 Weeks,Free,https://www.coursera.org
Relationship Management and Business Development,Business,Business Development,Coursera,1-4 Weeks,Free,https://www.coursera.org
Business for Good: Fundamentals of Corporate Responsibility,Business,Business Responsibility,Coursera,1-3 Months,Free,https://www.coursera.org
