course_title,domain,sub_domain,level,duration,paid_free,price,url
Public Health Principles:  Systems and Strategies,Health,Healthcare Management,Intermediate,1,Paid,4568.28,https://www.coursera.org/learn/public-health-principles-systems-and-strategies
Automate and Verify Marketing Reports Accurately,Business,Marketing,Beginner,1,Paid,3674,https://www.coursera.org/learn/automate-and-verify-marketing-reports-accurately
Hardware Security,Computer Science,Computer Security and Networks,Beginner,1,Paid,3374.23,https://www.coursera.org/learn/hardware-security
Cloud Computing Law: Transactions,Social Sciences,Law,Beginner,1,Paid,3319.12,https://www.coursera.org/learn/cloud-computing-law-transactions
Deep Neural Network for Beginners Using Python,Data Science,Machine Learning,Beginner,1,Paid,3901.12,https://www.coursera.org/learn/packt-deep-neural-network-for-beginners-using-python-u1run
Data Science Project Capstone: Predicting Bicycle Rental,Data Science,Data Analysis,Beginner,1,Free,0,https://www.coursera.org/learn/data-science-project-capstone-predicting-bicycle-rental
Engineering of Structures: Shear and Bending,Physical Science and Engineering,Mechanical Engineering,Beginner,1,Paid,2850.69,https://www.coursera.org/learn/engineering-of-structures-shear-and-bending
Kubernetes & Cloud Native Associate (KCNA) Prep,Computer Science,Computer Security and Networks,Intermediate,1,Paid,3828.48,https://www.coursera.org/learn/packt-kubernetes-cloud-native-associate-kcna-prep-h12ek
Intro to Null Hypothesis Significance Testing with z-test,Data Science,Data Analysis,Beginner,1,Paid,2965.92,https://www.coursera.org/learn/nhst-and-z-test
The Nuts and Bolts of Public Relations,Business,Marketing,Beginner,1,Free,0,https://www.coursera.org/learn/the-nuts-and-bolts-of-public-relations
React Native,Computer Science,Mobile and Web Development,Intermediate,1,Paid,3740.8,https://www.coursera.org/learn/react-native-course
Master Excel Advanced Functions and Analytics,Business,Finance,Beginner,1,Paid,3755.83,https://www.coursera.org/learn/master-excel-advanced-functions-analytics
GUI Development and AI-Enhanced Programming,Computer Science,Software Development,Beginner,1,Paid,2973.44,https://www.coursera.org/learn/gui-development-and-ai-enhanced-programming
Performance Optimization and Scalability,Computer Science,Software Development,Beginner,1,Free,0,https://www.coursera.org/learn/performance-optimization-and-scalability
Instructional Design Foundations and Applications,Social Sciences,Education,Beginner,1,Paid,3314.95,https://www.coursera.org/learn/instructional-design-foundations-applications
Using Cloud Trace on Kubernetes Engine,Information Technology,Cloud Computing,Intermediate,1,Paid,3898.62,https://www.coursera.org/learn/googlecloud-using-cloud-trace-on-kubernetes-engine-1h3mh
Conduct UX Research and Test Early Concepts,Computer Science,Design and Product,Beginner,1,Paid,2992.64,https://www.coursera.org/learn/conduct-ux-research
Data Connection and Functionalities in Power BI,Information Technology,Data Management,Intermediate,1,Paid,4479.77,https://www.coursera.org/learn/data-connection-and-functionalities-in-power-bi
"Dinosaurs: Evolution, Extinction, and Paleobiology",Physical Science and Engineering,Research Methods,Beginner,1,Paid,3871.9,https://www.coursera.org/learn/dinosaurs
Programming with JavaScript,Computer Science,Mobile and Web Development,Beginner,1,Paid,3638.93,https://www.coursera.org/learn/programming-with-javascript
Unit Testing in React.js: Create a Unit Test Suite,Computer Science,Software Development,Intermediate,1,Paid,4858.86,https://www.coursera.org/learn/rudi-hinds-unit-testing-in-react-create-a-unit-test-suite-react-testing-liibrary
"Visualize the 10,000 Bitcoin Pizza Transaction Using BigQuery and AI Notebooks",Information Technology,Cloud Computing,Beginner,1,Free,0,https://www.coursera.org/learn/googlecloud-visualize-the-10-000-bitcoin-pizza-transaction-using-bigquery-c2igp
Data Visualization with Tableau and Microsoft Excel,Data Science,Data Analysis,Beginner,1,Paid,3679.01,https://www.coursera.org/learn/data-visualization-with-tableau-and-microsoft-excel
Fundamentals of Engineering Exam Review,Physical Science and Engineering,Mechanical Engineering,Beginner,1,Paid,3041.07,https://www.coursera.org/learn/fe-exam
Application Security Program Ignition Guide,Information Technology,Security,Intermediate,1,Paid,4800.42,https://www.coursera.org/learn/packt-application-security-program-ignition-guide-oqaxd
Introduction to Academic Writing,Social Sciences,Education,Beginner,1,Paid,3754.16,https://www.coursera.org/learn/introduction-to-academic-writing
IntelliJ IDEA Case Study - Blood Donor Management System,Computer Science,Software Development,Beginner,1,Free,0,https://www.coursera.org/learn/intellij-idea-case-study-blood-donor-management-system
Decode Rasters with Rasterio,Data Science,Data Analysis,Beginner,1,Paid,3719.92,https://www.coursera.org/learn/decode-rasters-with-rasterio
Analyze Project Performance: Earned Value,Business,Leadership and Management,Beginner,1,Free,0,https://www.coursera.org/learn/analyze-project-performance-earned-value
Storying the Self: (Re)Claiming our Voices,Personal Development,Personal Development,Beginner,1,Paid,2845.68,https://www.coursera.org/learn/storying-the-self-re-claiming-our-voices
Certified Ethical Hacker (CEH): Unit 1,Information Technology,Security,Intermediate,1,Paid,4647.61,https://www.coursera.org/learn/pearson-certified-ethical-hacker-ceh-v13-with-omar-santos-and-nick-garner-l5up0
Complex Retrieval Queries in MySQL Workbench,Information Technology,Data Management,Intermediate,1,Paid,4392.94,https://www.coursera.org/learn/complex-retrieval-queries-in-mysql-workbench
GenAI for Personalized Marketing at Scale,Business,Entrepreneurship,Intermediate,1,Free,0,https://www.coursera.org/learn/genai-for-personalized-marketing-at-scale
Microsoft Word for Office 365 (Desktop or Online): Part 1,Business,Business Essentials,Beginner,1,Paid,3212.24,https://www.coursera.org/learn/microsoft-word-office-365-lo091141
Master Digital Marketing Strategy with Case Studies,Business,Marketing,Beginner,1,Paid,3274.04,https://www.coursera.org/learn/master-digital-marketing-strategy-case-studies
Advancing Health Equity: A Guide to Reducing Bias in Healthcare,Health,Healthcare Management,Intermediate,1,Paid,4318.62,https://www.coursera.org/learn/advancing-health-equity-a-guide-for-reducing-bias
Beer Quality Systems,Physical Science and Engineering,Chemistry,Intermediate,1,Free,0,https://www.coursera.org/learn/beer-quality-systems
Python: Logistic Regression & Supervised ML,Data Science,Data Analysis,Beginner,1,Paid,3205.56,https://www.coursera.org/learn/python-logistic-regression-supervised-ml
"Clinical Kidney, Pancreas and Islet Transplantation",Health,Patient Care,Intermediate,1,Paid,3679.01,https://www.coursera.org/learn/clinical-kidney-transplantation
First Steps in Python with Jupyter Notebooks,Data Science,Data Analysis,Beginner,1,Paid,3142.1,https://www.coursera.org/learn/first-steps-in-python-with-jupyter-notebooks
3D Modeling for 3D Printing and Laser Cutting on Fusion 360,Physical Science and Engineering,Mechanical Engineering,Intermediate,1,Paid,4727.77,https://www.coursera.org/learn/packt-3d-modeling-for-3d-printing-and-laser-cutting-on-fusion-360-n8yrm
Encoder-Decoder Architecture - Bahasa Indonesia,Computer Science,Software Development,Advanced,1,Paid,5660.46,https://www.coursera.org/learn/encoder-decoder-architecture---bahasa-indonesia
Adobe Illustrator CC: Part 2,Computer Science,Design and Product,Beginner,1,Paid,3219.76,https://www.coursera.org/learn/adobe-illustrator-cc-lo092034
Ethics in Public Policy,Social Sciences,Governance and Society,Beginner,2,Paid,3314.95,https://www.coursera.org/learn/ethics-in-public-policy
Multimodal Use Cases with Gemini 1.5,Information Technology,Cloud Computing,Beginner,1,Paid,3085.32,https://www.coursera.org/learn/googlecloud-multimodal-use-cases-with-gemini-1-5-kfoxw
Life Coach Certification,Business,Entrepreneurship,Beginner,1,Paid,3159.64,https://www.coursera.org/learn/packt-life-coach-certification-8sedn
Engineering and Product Design Processes,Physical Science and Engineering,Mechanical Engineering,Beginner,1,Paid,3800.92,https://www.coursera.org/learn/engineering-and-product-design-processes
Advancing Your Career in Production AI,Business,Leadership and Management,Intermediate,1,Paid,4685.19,https://www.coursera.org/learn/advancing-your-career-in-production-ai
Python for Google App Engine,Computer Science,Software Development,Beginner,1,Paid,3527.04,https://www.coursera.org/learn/packt-python-for-google-app-engine
"Java Spring: Build, Configure & Apply IoC",Computer Science,Mobile and Web Development,Beginner,1,Paid,3087,https://www.coursera.org/learn/java-spring-build-configure-apply-ioc
Systems and Cybersecurity Fundamentals Part 1,Information Technology,Security,Beginner,1,Paid,2925.84,https://www.coursera.org/learn/systems-and-cybersecurity-fundamentals-part1
Oracle RAC High Availability and Policy-Based Management,Information Technology,Cloud Computing,Intermediate,1,Paid,4146.61,https://www.coursera.org/learn/packt-oracle-rac-high-availability-and-policy-based-management-9zpkt
Landscape Photography: Capture the Beauty of Planet Earth,Arts and Humanities,Music and Art,Beginner,1,Paid,3663.14,https://www.coursera.org/learn/landscape-photography-capture-the-beauty-of-planet-earth
Azure SQL Data Warehouse Synapse Analytics Service,Information Technology,Data Management,Intermediate,1,Paid,4605.86,https://www.coursera.org/learn/packt-azure-sql-data-warehouse-synapse-analytics-service-s5uqu
Python GUI Development with Tkinter: Build Pro Desktop Apps,Computer Science,Software Development,Intermediate,1,Paid,4150.78,https://www.coursera.org/learn/packt-python-gui-development-with-tkinter-build-pro-desktop-apps-3ozla
Foundations of Modern HTML & CSS,Computer Science,Mobile and Web Development,Beginner,1,Paid,3233.96,https://www.coursera.org/learn/packt-foundations-of-modern-html-css-n3a6u
Vector Databases: An Introduction with Chroma DB,Information Technology,Data Management,Beginner,1,Paid,3873.56,https://www.coursera.org/learn/vector-databases-introduction-with-chromadb
A Bridge to the World: Korean Language for Intermediate1,Language Learning,Other Languages,Intermediate,2,Paid,3770.02,https://www.coursera.org/learn/korean-language-intermediate
