course_title,domain,sub_domain,level,duration,paid_free,price,url
Getting started with the Vertex AI Gemini 1.5 Pro Model,Information Technology,Cloud Computing,Beginner,1,Paid,3052.76,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr
SPSS: Apply & Interpret Logistic Regression Models,Data Science,Data Analysis,Beginner,1,Free,0,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Information Technology,Cloud Computing,Intermediate,1,Paid,4116.55,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml
Overcoming  Challenges in Self and Society,Personal Development,Personal Development,Beginner,1,Paid,3790.9,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Information Technology,Security,Intermediate,1,Paid,4683.52,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z
Dealing With Missing Data,Data Science,Data Analysis,Beginner,1,Paid,3822.63,https://www.coursera.org/learn/missing-data
Unordered Data Structures,Computer Science,Software Development,Beginner,1,Free,0,https://www.coursera.org/learn/cs-fundamentals-3
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,Information Technology,Cloud Computing,Advanced,1,Paid,7191.02,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm
Vital Signs: Understanding What the Body Is Telling Us,Health,Patient Care,Beginner,1,Paid,2905.8,https://www.coursera.org/learn/vital-signs
FinTech Disruptive Innovation: Implications for Society,Business,Finance,Beginner,1,Free,0,https://www.coursera.org/learn/fintech-disruption
Develop Code with Gemini in BigQuery,Information Technology,Cloud Computing,Beginner,1,Paid,3250.66,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o
The Linux Essentials,Information Technology,Support and Operations,Beginner,1,Free,0,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq
Get Started with iOS App Development,Computer Science,Mobile and Web Development,Beginner,1,Paid,3577.98,https://www.coursera.org/learn/get-started-with-ios-app-development
Create Amazing Macros in Affinity Photo,Arts and Humanities,Music and Art,Beginner,1,Paid,3077.81,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo
"Inventory Management: Analyze, Optimize & Control",Business,Business Essentials,Beginner,1,Paid,3629.74,https://www.coursera.org/learn/inventory-management-analyze-optimize-control
Brand Identity and Vector Graphics,Business,Marketing,Beginner,1,Paid,2980.95,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics
The Evolving Universe,Physical Science and Engineering,Physics and Astronomy,Beginner,1,Free,0,https://www.coursera.org/learn/evolvinguniverse
Use SurveyMonkey to Create a Survey and Analyze Results,Business,Marketing,Beginner,1,Free,0,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey
Performing Data Aggregation using SQL Aggregate Functions,Data Science,Data Analysis,Intermediate,1,Paid,3739.96,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions
Advancing Mask Technology for Semiconductors,Physical Science and Engineering,Electrical Engineering,Intermediate,1,Paid,4554.09,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors
Developing AI Policy,Data Science,Machine Learning,Beginner,1,Free,0,https://www.coursera.org/learn/developing-ai-policy
Adobe Dreamweaver CC (2017): Part 1,Computer Science,Design and Product,Beginner,1,Paid,3833.48,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005
GenAI for Talent Acquisition: Smarter Candidate Screening,Data Science,Machine Learning,Intermediate,1,Paid,3630.58,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening
Machine Learning in the Enterprise - Français,Data Science,Machine Learning,Intermediate,1,Paid,4314.44,https://www.coursera.org/learn/machine-learning-in-enterprise-fr
Unlock Multimodal Search,Information Technology,Data Management,Intermediate,1,Paid,3537.06,https://www.coursera.org/learn/unlock-multimodal-search
Consulting Presentations and Storytelling,Business,Business Strategy,Beginner,1,Paid,3231.45,https://www.coursera.org/learn/management-consulting-presentations
Qualitative Research Interviews,Business,Business Essentials,Beginner,1,Paid,3426,https://www.coursera.org/learn/qualitative-research-interviews
The Zero Trust Framework,Information Technology,Security,Intermediate,1,Paid,3893.6,https://www.coursera.org/learn/pearson-the-zero-trust-framework-video-course-o5esi
Negotiation: Remember Levers and Record Notes,Business,Business Strategy,Beginner,1,Free,0,https://www.coursera.org/learn/negotiation-remember-levers--record-notes
Analyze and Create Your AI Marketing Plan,Business,Marketing,Beginner,1,Paid,3136.26,https://www.coursera.org/learn/analyze-and-create-your-ai-marketing-plan
Master After Effects: Analyze & Create Dynamic Motion,Computer Science,Design and Product,Beginner,1,Paid,3655.63,https://www.coursera.org/learn/master-after-effects-analyze-create-dynamic-motion
Growing and Sustaining Online Communities,Business,Business Essentials,Beginner,1,Paid,3069.46,https://www.coursera.org/learn/growing-and-sustaining-online-communities
Product Management: Developing and Delivering a New Product,Information Technology,Support and Operations,Beginner,1,Paid,3021.03,https://www.coursera.org/learn/product-management-developing-and-delivering-a-new-product
"Memory, Encryption, and Protecting Data in Android",Computer Science,Mobile and Web Development,Beginner,1,Paid,3028.54,https://www.coursera.org/learn/memory-encryption-and-protecting-data-android
Fundamentals of Blockchain Architecture,Computer Science,Software Development,Intermediate,1,Paid,4478.11,https://www.coursera.org/learn/fundamentals-blockchain-architecture
"2026 Mobile App Marketing With ASO, And Monetization",Business,Marketing,Beginner,1,Paid,2836.5,https://www.coursera.org/learn/mobile-app-marketing
Vulnerability Assessment and Management,Computer Science,Computer Security and Networks,Intermediate,1,Free,0,https://www.coursera.org/learn/vulnerability-assessment-and-management
Simulate with Monte Carlo,Business,Business Strategy,Intermediate,1,Paid,3557.1,https://www.coursera.org/learn/simulate-with-monte-carlo
Cómo empezar con Facebook Commerce Manager,Business,Entrepreneurship,Beginner,1,Paid,2959.24,https://www.coursera.org/learn/facebook-commerce
Researcher Management and Leadership Training,Health,Healthcare Management,Intermediate,1,Paid,4321.12,https://www.coursera.org/learn/researcher-management-leadership-training
Introduction to Enterprise Computing,Information Technology,Cloud Computing,Beginner,1,Paid,3366.72,https://www.coursera.org/learn/introduction-enterprise-computing
Financial Planning,Business,Finance,Beginner,2,Free,0,https://www.coursera.org/learn/financial-planning-course-isb
Multimodality with Gemini,Information Technology,Cloud Computing,Intermediate,1,Paid,4569.96,https://www.coursera.org/learn/googlecloud-multimodality-with-gemini-zlf0n
"Systems Acquisition, Development and Implementation",Computer Science,Computer Security and Networks,Intermediate,1,Free,0,https://www.coursera.org/learn/packt-systems-acquisition-development-implementation-l8app
Creating Engaging Content for YouTube,Business,Marketing,Beginner,1,Paid,3668.99,https://www.coursera.org/learn/creating-engaging-content-for-youtube
Building No-Code Apps with AppSheet: Implementation,Information Technology,Cloud Computing,Intermediate,1,Paid,4847.18,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-implementation
"Modern Robotics, Course 1:  Foundations of Robot Motion",Physical Science and Engineering,Mechanical Engineering,Intermediate,1,Paid,4713.58,https://www.coursera.org/learn/modernrobotics-course1
Voice AI: Introduction to Building Voice Applications,Data Science,Machine Learning,Beginner,1,Paid,3900.28,https://www.coursera.org/learn/voice-ai-introduction-to-building-voice-applications
Blockchain Evolution and Technology Concepts,Information Technology,Security,Beginner,1,Paid,3894.44,https://www.coursera.org/learn/blockchain-evolution-and-technology-concepts
Mastering Microsoft Endpoint Manager and Intune,Information Technology,Security,Intermediate,1,Paid,3740.8,https://www.coursera.org/learn/packt-mastering-microsoft-endpoint-manager-and-intune-sntyi
From prototyping to validating business models,Business,Leadership and Management,Intermediate,1,Paid,3674,https://www.coursera.org/learn/from-prototyping-to-validating-business-models
University Studies for Student Veterans,Personal Development,Personal Development,Beginner,3,Paid,3385.92,https://www.coursera.org/learn/university-studies-for-student-veterans
Modelos predictivos con Machine Learning,Computer Science,Software Development,Intermediate,1,Paid,4804.59,https://www.coursera.org/learn/modelos-predictivos-con-machine-learning
Introduction to SQL and relational databases,Information Technology,Data Management,Beginner,1,Paid,2788.06,https://www.coursera.org/learn/valencia-sandbox-2-
"SEO Case Study: Analyze, Optimize & Grow",Business,Marketing,Beginner,1,Paid,3259.84,https://www.coursera.org/learn/seo-case-study-analyze-optimize-grow
Bioinformatic Methods I,Health,Health Informatics,Beginner,1,Free,0,https://www.coursera.org/learn/bioinformatics-methods-1
Social Network Analysis,Data Science,Data Analysis,Beginner,1,Paid,2914.98,https://www.coursera.org/learn/social-network-analysis
Build a Mobile App with Firebase,Computer Science,Software Development,Intermediate,1,Paid,4245.98,https://www.coursera.org/learn/build-a-mobile-app-with-firebase
Predictive Analytics with SPSS: Analyze & Apply,Data Science,Data Analysis,Beginner,1,Paid,2896.62,https://www.coursera.org/learn/predictive-analytics-spss-analyze-apply
Advanced DAX and Performance Optimization,Information Technology,Data Management,Intermediate,1,Free,0,https://www.coursera.org/learn/advanced-dax-and-performance-optimization
Computer Vision Basics,Computer Science,Algorithms,Intermediate,1,Paid,4079.81,https://www.coursera.org/learn/computer-vision-basics
Defeat Procrastination: Design Your Own Creative Workflow,Arts and Humanities,Philosophy,Beginner,1,Paid,3741.64,https://www.coursera.org/learn/defeat-procrastination-design-your-own-creative-workflow
Professional Skills: Digital Security,Business,Business Essentials,Beginner,1,Paid,3402.62,https://www.coursera.org/learn/digital-security
Data Management and Sharing for NIH Proposals,Health,Basic Science,Beginner,1,Paid,2817.29,https://www.coursera.org/learn/nih-data-sharing
3D Animation in Unreal Engine: Create an Original Character,Computer Science,Design and Product,Beginner,1,Paid,2786.4,https://www.coursera.org/learn/3d-animation-in-unreal-engine-create-an-original-character
Microsoft Fabric Analytics Engineer: DP-600 Exam Prep,Data Science,Data Analysis,Intermediate,2,Paid,4272.7,https://www.coursera.org/learn/microsoft-fabric-analytics-engineer-dp-600-exam-prep
Advanced Security and Troubleshooting,Information Technology,Networking,Advanced,1,Paid,6184.01,https://www.coursera.org/learn/packt-advanced-security-and-troubleshooting-fndef
Civil Registration & Vital Statistics in Population Health,Health,Public Health,Beginner,1,Paid,3241.47,https://www.coursera.org/learn/crvsforpopulationhealth
Create a Cover Letter with an Envelope using Microsoft Word,Business,Business Essentials,Beginner,1,Paid,3261.51,https://www.coursera.org/learn/create-a-cover-letter-with-an-envelope-using-microsoft-word
Road Safety & Indigenous Communities: Safe Systems Approach,Health,Public Health,Beginner,1,Paid,2778.88,https://www.coursera.org/learn/road-safety--indigenous-communities-safe-systems-approach
Sustainable Practices in High-Tech Manufacturing,Physical Science and Engineering,Environmental Science and Sustainability,Intermediate,1,Free,0,https://www.coursera.org/learn/sustainable-practices-in-high-tech-manufacturing
Semiconductor Manufacturing Fundamentals,Computer Science,Computer Security and Networks,Intermediate,1,Paid,4050.58,https://www.coursera.org/learn/semiconductor-manufacturing-fundamentals
User Interface Design and Prototyping,Computer Science,Design and Product,Beginner,1,Paid,3487.8,https://www.coursera.org/learn/user-interface-design-and-prototyping
Research Methodologies,Business,Marketing,Beginner,1,Paid,3577.14,https://www.coursera.org/learn/research-methodologies
From Climate Science to Action,Social Sciences,Governance and Society,Beginner,1,Paid,3145.44,https://www.coursera.org/learn/climate-science
Analyze Box Office Data with Seaborn and Python,Data Science,Machine Learning,Intermediate,1,Paid,4389.6,https://www.coursera.org/learn/analyze-data-seaborn-python
Material Jetting and Stereolithography,Physical Science and Engineering,Mechanical Engineering,Intermediate,1,Paid,4114.04,https://www.coursera.org/learn/material-jetting-and-stereolithography
Analyze Multimodal AI for Business Insights,Business,Leadership and Management,Intermediate,1,Paid,4021.36,https://www.coursera.org/learn/analyze-multimodal-ai-for-business-insights
Multi-Agent Systems with LangGraph,Computer Science,Software Development,Intermediate,1,Paid,4413.81,https://www.coursera.org/learn/multi-agent-systems-with-langgraph
Cybersecurity Identity and Access Solutions with Azure AD,Computer Science,Computer Security and Networks,Beginner,1,Paid,3555.43,https://www.coursera.org/learn/cybersecurity-identity-access-solutions-azure-ad
GenAI for Front-End Developers,Computer Science,Software Development,Intermediate,1,Paid,4876.4,https://www.coursera.org/learn/genai-for-front-end-developers
XR in Healthcare Education and Clinical Practice,Health,Patient Care,Beginner,1,Paid,2825.64,https://www.coursera.org/learn/extended-reality-in-healthcare-education-and-clinical-practice
Teaching LGBTQ+ Health,Health,Patient Care,Beginner,1,Free,0,https://www.coursera.org/learn/teaching-lgbtq-health
YouTube Ads & Video Marketing,Business,Marketing,Beginner,1,Paid,3369.22,https://www.coursera.org/learn/youtube-ads
Consultative Selling and Buyer Engagement,Business,Business Essentials,Beginner,1,Paid,3338.33,https://www.coursera.org/learn/consultative-selling-and-buyer-engagement
"Portfolio, Interview, and Job Strategy",Business,Leadership and Management,Beginner,1,Paid,3615.55,https://www.coursera.org/learn/portfolio-interview-and-job-strategy
Choosing your AWS identity service,Information Technology,Cloud Computing,Beginner,1,Paid,2904.96,https://www.coursera.org/learn/choosing-your-aws-identity-service
Translating Research to Communities,Health,Basic Science,Beginner,1,Free,0,https://www.coursera.org/learn/translating-research-to-communities
Palo Alto Networks Cybersecurity Fundamentals,Computer Science,Computer Security and Networks,Intermediate,1,Paid,4018.02,https://www.coursera.org/learn/packt-palo-alto-networks-cybersecurity-fundamentals-pccsa-nxmaz
Financing  Biotech Innovation,Business,Finance,Intermediate,2,Free,0,https://www.coursera.org/learn/financing-biotech-innovation
Manage Schema Evolution in Real‑Time Data,Computer Science,Software Development,Intermediate,1,Paid,4807.93,https://www.coursera.org/learn/manage-schema-evolution-in-realtime-data
Specialized RMAN Features and Advanced Use Cases,Information Technology,Data Management,Advanced,1,Free,0,https://www.coursera.org/learn/packt-specialized-rman-features-and-advanced-use-cases-f2n1f
Negotiations For Leaders,Business,Leadership and Management,Beginner,1,Paid,3068.62,https://www.coursera.org/learn/negotiations-for-leaders
Accounting Analytics,Business,Finance,Beginner,1,Paid,3096.18,https://www.coursera.org/learn/accounting-analytics
Management Complete Guide - Succeed in Leadership Roles,Business,Leadership and Management,Beginner,1,Paid,3273.2,https://www.coursera.org/learn/management-leadership
Smart Decision Matrix,Business,Business Strategy,Intermediate,1,Paid,4545.74,https://www.coursera.org/learn/smart-decision-matrix
Your Solopreneur Strategy: Grow Your Business with Clarity,Business,Entrepreneurship,Beginner,1,Paid,3881.08,https://www.coursera.org/learn/your-solopreneur-strategy-grow-your-business-with-clarity
Protecting Data with NetApp Cloud Manager & Cloud Volumes ONTAP for Google Cloud,Information Technology,Cloud Computing,Beginner,1,Paid,2845.68,https://www.coursera.org/learn/googlecloud-protecting-data-with-netapp-cloud-manager-cloud-volumes-ontap-iojct
Municipal Solid Waste Management in Developing Countries,Physical Science and Engineering,Environmental Science and Sustainability,Intermediate,1,Paid,3794.24,https://www.coursera.org/learn/solid-waste-management
FinTech Foundations and Overview,Business,Finance,Beginner,1,Paid,3277.38,https://www.coursera.org/learn/fintech
"Extract, Transform, and Load Data",Data Science,Data Analysis,Intermediate,1,Paid,4156.63,https://www.coursera.org/learn/extract-transform-and-load-data
Assessing Data Quality with Dataplex,Information Technology,Cloud Computing,Beginner,1,Paid,3005.16,https://www.coursera.org/learn/googlecloud-assessing-data-quality-with-dataplex-fk1hs
Emerging Markets - Jagdish Sheth,Business,Marketing,Beginner,1,Paid,3780.88,https://www.coursera.org/learn/emerging-markets
Storying the Self: Telling our Stories,Personal Development,Personal Development,Beginner,1,Paid,3133.76,https://www.coursera.org/learn/storying-the-self-telling-our-stories
Automize Monthly Report Creation with Power Automate,Information Technology,Cloud Computing,Beginner,1,Paid,3397.62,https://www.coursera.org/learn/automize-monthly-report-creation-power-automate
Developing Applications with Cloud Run on Google Cloud: Fundamentals,Information Technology,Cloud Computing,Beginner,1,Paid,3136.26,https://www.coursera.org/learn/developing-applications-with-cloud-run-on-gcp-fundamentals
Advanced AI Techniques for the Supply Chain,Data Science,Machine Learning,Intermediate,1,Paid,3714.92,https://www.coursera.org/learn/advanced-ai-techniques-for-the-supply-chain
GenAI for Risk Managers: Advanced Risk Analysis Techniques,Data Science,Machine Learning,Advanced,1,Paid,6345.16,https://www.coursera.org/learn/genai-for-risk-managers-advanced-risk-analysis-techniques
Music and Social Action,Arts and Humanities,Music and Art,Beginner,2,Paid,3668.16,https://www.coursera.org/learn/music-and-social-action
Interventions and Calibration,Health,Public Health,Intermediate,1,Paid,4238.46,https://www.coursera.org/learn/interventions-and-calibration
"Cybersecurity Compliance Framework, Standards & Regulations",Computer Science,Computer Security and Networks,Intermediate,1,Free,0,https://www.coursera.org/learn/cybersecurity-compliance-framework-standards-regulations
Natural Language Processing on Google Cloud,Data Science,Machine Learning,Advanced,1,Paid,6574.79,https://www.coursera.org/learn/sequence-models-tensorflow-gcp
Data Science Decisions in Time: Using Causal Information,Data Science,Data Analysis,Intermediate,1,Paid,3665.65,https://www.coursera.org/learn/data-science-decisions-in-time-using-causal-information
Essential Concepts of Vector Databases,Information Technology,Cloud Computing,Intermediate,1,Paid,4238.46,https://www.coursera.org/learn/packt-essential-concepts-of-vector-databases-zj8v3
Pro Tools Basics,Arts and Humanities,Music and Art,Beginner,1,Paid,2993.48,https://www.coursera.org/learn/protools
Analyze Employee Performance Using Excel Pivot Tables,Data Science,Data Analysis,Beginner,1,Paid,3287.4,https://www.coursera.org/learn/analyze-employee-performance-excel-pivot-tables
Crystal Reports: SQL Statements and Complex Formulas,Data Science,Data Analysis,Beginner,1,Free,0,https://www.coursera.org/learn/crystal-reports-sql-statements-complex-formulas-lo095028
Introduction to Workflow Management,Business,Leadership and Management,Intermediate,1,Paid,4221.76,https://www.coursera.org/learn/introduction-to-workflow-management
Bracketology with Google Machine Learning,Data Science,Machine Learning,Beginner,1,Free,0,https://www.coursera.org/learn/googlecloud-bracketology-with-google-machine-learning-5ytsd
Greening the Economy: Sustainable Cities,Physical Science and Engineering,Environmental Science and Sustainability,Beginner,1,Paid,3633.08,https://www.coursera.org/learn/gte-sustainable-cities
"User Interface Design: Principles, Prototyping, Practices",Computer Science,Design and Product,Beginner,1,Paid,2984.29,https://www.coursera.org/learn/user-interface-design-principles-prototyping-practices
"AZ-104: Azure Storage, Compute, Containers, and Automation",Information Technology,Cloud Computing,Intermediate,1,Paid,3724.94,https://www.coursera.org/learn/packt-az-104-azure-storage-compute-containers-and-autoamtion-pps7c
Positive Psychology Specialization Project: Design Your Life for Well-being,Health,Psychology,Beginner,1,Paid,2920,https://www.coursera.org/learn/positive-psychology-project
Financial Analysis and Ratio Interpretation,Business,Leadership and Management,Beginner,1,Paid,3397.62,https://www.coursera.org/learn/financial-analysis-and-ratio-interpretation
Introduction to Java,Computer Science,Software Development,Beginner,1,Paid,3512.01,https://www.coursera.org/learn/java-introduction
API Security on Google Cloud's Apigee API Platform,Computer Science,Software Development,Beginner,1,Free,0,https://www.coursera.org/learn/api-security-apigee-gcp
Innovative And Disruptive Thinking For Market Disruption,Business,Marketing,Beginner,1,Paid,3674.84,https://www.coursera.org/learn/innovative-thinking
Relational Database Administration (DBA),Information Technology,Data Management,Intermediate,1,Paid,3497.82,https://www.coursera.org/learn/relational-database-administration
Sustainability Reporting: From Regulation to Implementation,Business,Business Essentials,Intermediate,1,Paid,4786.22,https://www.coursera.org/learn/sustainability-reporting-from-regulation-to-implementation
NoSQL Databases: Analyze & Implement Scalable Systems,Data Science,Data Analysis,Beginner,1,Paid,3144.61,https://www.coursera.org/learn/nosql-databases-analyze-implement-scalable-systems
Improve Focus And Concentration For A Longer Attention Span,Business,Leadership and Management,Beginner,1,Paid,3227.28,https://www.coursera.org/learn/focus
Data Analytics with Skills.AI: Create Data Visualizations,Data Science,Data Analysis,Intermediate,1,Paid,4653.46,https://www.coursera.org/learn/data-analytics-with-skills-ai-create-data-visualizations
Master Machine Learning with TensorFlow: Basics to Advanced,Data Science,Machine Learning,Beginner,1,Free,0,https://www.coursera.org/learn/master-machine-learning-tensorflow-basics-advanced
Visualize Retention: Heatmaps & Clarity Unlocked,Business,Leadership and Management,Intermediate,1,Paid,4075.64,https://www.coursera.org/learn/visualize-retention-heatmaps--clarity-unlocked
Research Proposal: Initiating Research,Business,Marketing,Intermediate,1,Paid,4187.52,https://www.coursera.org/learn/research-proposal-initiating-research
Analyze Financial Markets with Technical Analysis,Business,Business Essentials,Beginner,1,Paid,2847.35,https://www.coursera.org/learn/analyze-financial-markets-technical-analysis
Copyright Law,Social Sciences,Law,Beginner,1,Paid,3897.78,https://www.coursera.org/learn/copyright-law
Epidemiology: The Basic Science of Public Health,Health,Public Health,Beginner,1,Paid,3398.45,https://www.coursera.org/learn/epidemiology
Applied Natural Language Processing in Engineering Part 1,Data Science,Machine Learning,Beginner,1,Paid,3194.71,https://www.coursera.org/learn/applied-natural-language-processing-in-engineering-part-1
Building a Machine Learning Solution,Data Science,Machine Learning,Intermediate,1,Paid,4577.47,https://www.coursera.org/learn/building-a-machine-learning-solution
Decision Making and Reinforcement Learning,Computer Science,Algorithms,Intermediate,3,Paid,5143.6,https://www.coursera.org/learn/dmrol
C++ Superpowers and More,Information Technology,Security,Beginner,1,Paid,2974.27,https://www.coursera.org/learn/c-superpowers-and-more
"Deploy, Manage, and Orchestrate Your Models",Information Technology,Cloud Computing,Intermediate,1,Paid,4776.2,https://www.coursera.org/learn/deploy-manage-and-orchestrate-your-models
Data Collection and Integration,Data Science,Data Analysis,Intermediate,1,Paid,4514.84,https://www.coursera.org/learn/data-collection-and-integration
Taxation Concepts,Business,Finance,Intermediate,1,Free,0,https://www.coursera.org/learn/taxation-concepts
Introduction to UX Design MasterTrack Certificate Program,Arts and Humanities,Music and Art,Beginner,1,Paid,3008.5,https://www.coursera.org/learn/ux-design-open-content-shell
Fundamentals of Network Communication,Computer Science,Computer Security and Networks,Intermediate,1,Paid,4181.68,https://www.coursera.org/learn/fundamentals-network-communications
PyMongo - Advanced,Computer Science,Software Development,Intermediate,1,Free,0,https://www.coursera.org/learn/pymongo-advanced
Critical Thinking for Decision Making,Personal Development,Personal Development,Beginner,1,Paid,3881.92,https://www.coursera.org/learn/critical-thinking-for-decision-making
Financial Ratios: Analyze & Apply Key Metrics,Business,Leadership and Management,Beginner,1,Paid,3522.86,https://www.coursera.org/learn/financial-ratios-analyze--apply-key-metrics
Report Results Clearly,Business,Business Essentials,Beginner,1,Paid,3828.48,https://www.coursera.org/learn/report-results-clearly
Operate Alibaba Cloud Systems and Services,Information Technology,Support and Operations,Beginner,2,Paid,3424.34,https://www.coursera.org/learn/alibaba-system-operator
Build a Memory Game in React,Computer Science,Mobile and Web Development,Intermediate,1,Paid,4348.68,https://www.coursera.org/learn/build-a-memory-game-in-react
Build & Analyze Your Data Lakehouse,Data Science,Data Analysis,Advanced,1,Paid,6151.44,https://www.coursera.org/learn/build--analyze-your-data-lakehouse
"Build & Deploy a Tomcat Website: Design, Develop, Deliver",Computer Science,Mobile and Web Development,Beginner,1,Free,0,https://www.coursera.org/learn/build-deploy-tomcat-website-design-develop-deliver
(SSCP) Systems Security Certified Practitioner: Unit 6,Information Technology,Security,Beginner,1,Paid,3609.7,https://www.coursera.org/learn/pearson-sscp-systems-security-certified-practitioner-complete-video-course-hxu9x
Artificial Intelligence in Practice for Business,Business,Business Strategy,Beginner,1,Paid,3203.06,https://www.coursera.org/learn/wiley-artificial-intelligence-in-practice-for-business
Automate R scripts with GitHub Actions: Deploy a model,Data Science,Machine Learning,Intermediate,1,Free,0,https://www.coursera.org/learn/automate-r-scripts-with-github-actions-deploy-a-model
Introduction to Korean Philosophy and Culture,Arts and Humanities,Philosophy,Beginner,1,Paid,3346.68,https://www.coursera.org/learn/introduction-to-korean-philosophy-and-culture
"Routing, Network Devices, and Security",Information Technology,Networking,Intermediate,1,Paid,4800.42,https://www.coursera.org/learn/packt-routing-network-devices-and-security-6cthe
Linux Foundation Certified System Administrator (LFCS): Unit 6,Information Technology,Support and Operations,Intermediate,1,Free,0,https://www.coursera.org/learn/pearson-linux-foundation-certified-system-administrator-lfcs-complete-vide-caxci
"Information System Auditing, Governance and Management",Computer Science,Computer Security and Networks,Intermediate,1,Paid,4590.83,https://www.coursera.org/learn/information-system-auditing-governance-and-management
Molecular Evolution (Bioinformatics IV),Health,Health Informatics,Intermediate,1,Free,0,https://www.coursera.org/learn/molecular-evolution
Unreal Engine 5 for Games - Physics,Computer Science,Software Development,Intermediate,1,Paid,4214.24,https://www.coursera.org/learn/packt-unreal-engine-5-for-games-physics-gvj3x
"Deep Learning, NLP, and AI Applications",Computer Science,Software Development,Advanced,1,Paid,7078.3,https://www.coursera.org/learn/packt-deep-learning-nlp-and-ai-applications-bdmof
Applied Sustainability Engineering,Physical Science and Engineering,Environmental Science and Sustainability,Intermediate,1,Paid,4340.33,https://www.coursera.org/learn/applied-sustainability-engineering
Getting Started with Amazon DocumentDB (with MongoDB compatibility),Information Technology,Data Management,Beginner,1,Paid,3038.56,https://www.coursera.org/learn/aws-getting-started-with-amazon-documentdb-with-mongodb-compatibility
How to Write Emails and Engage Professors,Personal Development,Personal Development,Intermediate,1,Paid,3582.98,https://www.coursera.org/learn/how-to-write-emails-and-engage-professors
Understanding Management and Leadership,Business,Leadership and Management,Intermediate,1,Paid,3966.25,https://www.coursera.org/learn/understanding-management-and-leadership
Introduction to AI for marketing professionals,Business,Business Strategy,Beginner,1,Paid,3534.56,https://www.coursera.org/learn/introduction-to-ai-for-marketing-professionals
MCP for Leaders - Architecting Context-Driven AI,Business,Leadership and Management,Intermediate,1,Paid,3737.46,https://www.coursera.org/learn/packt-mcp-for-leaders-architecting-context-driven-ai-tgfj7
Advertise and grow your business on Facebook with Canva,Business,Marketing,Intermediate,1,Paid,4474.77,https://www.coursera.org/learn/advertise-grow-business-facebook-canva
Leveraging Generative AI for Social Impact Organizations,Business,Leadership and Management,Beginner,1,Free,0,https://www.coursera.org/learn/leveraging-generative-ai-for-social-impact-organizations
Building Relationships with Communication,Personal Development,Personal Development,Beginner,1,Paid,3270.7,https://www.coursera.org/learn/buildingrelationshipswithcommunication
Seaborn: Visualizing Basics to Advanced Statistical Plots,Data Science,Data Analysis,Beginner,1,Paid,3522.03,https://www.coursera.org/learn/seaborn-visualizing-basics-to-advanced-statistical-plots
Strategic Innovation: Managing Innovation Initiatives,Business,Marketing,Beginner,1,Paid,3566.28,https://www.coursera.org/learn/strategic-innovation-innovation-at-the-frontier
AI Video Avatars: Launch Your Automated Social Media Machine,Computer Science,Design and Product,Beginner,1,Paid,3000.99,https://www.coursera.org/learn/ai-video-avatars-launch-your-automated-social-media-machine
Systems and Application Security,Information Technology,Security,Beginner,1,Paid,3676.5,https://www.coursera.org/learn/systems-and-application-security
Unity Editor Scripting: Design & Customize Tools,Computer Science,Design and Product,Beginner,1,Paid,3196.38,https://www.coursera.org/learn/unity-editor-scripting-design-customize-tools
COBIT 2019 Foundation,Information Technology,Support and Operations,Intermediate,1,Free,0,https://www.coursera.org/learn/packt-cobit-2019-foundation-vjb8a
Influencer Marketing Strategy,Business,Marketing,Intermediate,1,Paid,4375.4,https://www.coursera.org/learn/influencer-marketing-strategy
Introduction to Power Electronics,Physical Science and Engineering,Electrical Engineering,Intermediate,1,Paid,4039.73,https://www.coursera.org/learn/power-electronics
Advanced Automation Frameworks and Testing with TestNG,Computer Science,Software Development,Intermediate,1,Paid,4439.7,https://www.coursera.org/learn/packt-advanced-automation-frameworks-and-testing-with-testng-tgoar
Prospecting and Selling Insurance,Business,Finance,Beginner,1,Paid,3707.4,https://www.coursera.org/learn/prospecting-and-selling-insurance
Professional Selling: Step 2 - Prepare Like a High-Performer,Business,Marketing,Beginner,1,Paid,3005.16,https://www.coursera.org/learn/professional-selling-step-2
